first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Blake,Griffin,2015-01-07,LAC,LAL,1851,9,13,0,0,9,13,1,8,9,8,3,0,0,1,27,56.25
Klay,Thompson,2015-01-07,GSW,IND,2402,14,25,6,11,6,6,0,4,4,3,1,1,2,1,40,55.5
Anthony,Davis,2015-01-07,NOP,CHO,2491,15,24,0,0,2,2,2,10,12,1,0,4,1,3,32,56.0
Greg,Monroe,2015-01-07,DET,DAL,2048,11,16,0,0,5,5,3,15,18,6,0,1,4,2,27,58.5
Chris,Paul,2015-01-07,LAC,LAL,1872,9,15,4,6,2,2,0,2,2,11,3,0,1,2,24,50.5
Kyrie,Irving,2015-01-07,CLE,HOU,2466,15,26,4,8,4,4,1,1,2,3,1,0,4,1,38,47.0
Jeff,Teague,2015-01-07,ATL,MEM,2055,9,14,3,4,4,4,0,3,3,6,2,1,3,3,25,43.75
Mo,Williams,2015-01-07,MIN,PHO,2122,7,14,4,7,5,5,1,2,3,11,1,1,3,4,23,47.75
Khris,Middleton,2015-01-07,MIL,PHI,1642,7,9,2,2,2,2,0,3,3,3,5,0,0,2,18,37.25
Kemba,Walker,2015-01-07,CHO,NOP,2185,12,24,1,3,6,8,1,3,4,4,1,0,2,2,31,43.5
Stephen,Curry,2015-01-07,GSW,IND,2087,8,17,4,8,1,1,0,3,3,15,4,0,5,5,21,54.75
Rudy,Gay,2015-01-07,SAC,OKC,2103,9,19,3,3,7,8,4,5,9,1,1,0,2,3,28,43.25
Goran,Dragic,2015-01-07,PHO,MIN,2264,11,16,0,4,3,4,2,1,3,4,1,0,2,3,25,35.75
John,Wall,2015-01-07,WAS,NYK,2011,5,9,1,1,7,9,0,5,5,8,3,0,3,2,18,41.25
D.J.,Augustin,2015-01-07,DET,DAL,1301,9,16,4,5,4,5,0,1,1,2,1,0,2,1,26,33.25
Darren,Collison,2015-01-07,SAC,OKC,2301,9,19,5,10,1,1,0,1,1,7,2,0,3,1,24,40.75
Derrick,Favors,2015-01-07,UTA,CHI,1932,8,15,0,0,4,4,2,9,11,2,2,0,1,4,20,40.25
Victor,Oladipo,2015-01-07,ORL,DEN,2146,7,13,0,1,3,4,0,1,1,6,3,0,0,2,17,33.25
Isaiah,Thomas,2015-01-07,PHO,MIN,1873,6,14,2,3,3,4,2,3,5,3,5,0,0,4,17,38.75
Tyler,Zeller,2015-01-07,BOS,BRK,1884,7,14,0,0,4,4,3,3,6,4,1,1,1,2,18,35.0
Rudy,Gobert,2015-01-07,UTA,CHI,2185,5,8,0,0,1,2,6,8,14,0,2,5,2,2,11,41.5
Jrue,Holiday,2015-01-07,NOP,CHO,2304,6,13,2,4,2,4,2,4,6,9,2,2,3,4,16,44.5
Nene,Hilario,2015-01-07,WAS,NYK,1430,8,13,0,1,4,6,0,6,6,4,1,0,2,2,20,34.5
Mason,Plumlee,2015-01-07,BRK,BOS,2200,5,11,0,0,6,11,6,6,12,3,0,2,0,5,16,39.5
Ty,Lawson,2015-01-07,DEN,ORL,2042,9,14,3,5,2,4,1,2,3,5,1,0,5,3,23,35.25
Solomon,Hill,2015-01-07,IND,GSW,2056,8,15,2,5,3,4,0,4,4,2,0,0,0,1,21,30.0
O.J.,Mayo,2015-01-07,MIL,PHI,1413,6,11,2,6,1,2,0,4,4,6,1,0,0,1,15,32.0
Trevor,Booker,2015-01-07,UTA,CHI,1367,5,10,1,1,4,5,4,4,8,1,0,1,0,0,15,29.0
Andrew,Wiggins,2015-01-07,MIN,PHO,2339,10,16,1,4,4,5,0,4,4,2,3,0,6,5,25,36.5
Trevor,Ariza,2015-01-07,HOU,CLE,2131,5,13,3,10,0,0,2,4,6,3,5,0,0,2,13,36.5
Gordon,Hayward,2015-01-07,UTA,CHI,2011,6,14,0,4,6,7,0,4,4,5,2,1,2,2,18,35.5
Avery,Bradley,2015-01-07,BOS,BRK,2050,7,12,3,5,4,4,0,4,4,1,0,0,2,2,21,28.0
Tyson,Chandler,2015-01-07,DAL,DET,1884,4,5,0,0,1,2,4,11,15,1,1,1,0,2,9,33.25
Anthony,Bennett,2015-01-07,MIN,PHO,1334,6,10,0,0,2,2,3,7,10,1,0,0,0,0,14,28.0
Jimmy,Butler,2015-01-07,CHI,UTA,2021,5,13,2,4,4,5,3,8,11,3,2,0,2,2,16,38.25
