position,first_name,last_name,salary,date
PG,Russell,Westbrook,11800,2015-04-13
PF,Anthony,Davis,11000,2015-04-13
SG,James,Harden,10600,2015-04-13
C,DeMarcus,Cousins,10200,2015-04-13
SF,LeBron,James,10000,2015-04-13
PG,Chris,Paul,9700,2015-04-13
PG,Stephen,Curry,9600,2015-04-13
PF,LaMarcus,Aldridge,8700,2015-04-13
PF,Blake,Griffin,8700,2015-04-13
PF,Pau,Gasol,8500,2015-04-13
PG,Reggie,Jackson,8500,2015-04-13
C,Brook,Lopez,8400,2015-04-13
C,Andre,Drummond,8400,2015-04-13
C,DeAndre,Jordan,8000,2015-04-13
C,Nikola,Vucevic,8000,2015-04-13
PG,Damian,Lillard,8000,2015-04-13
PG,Kyrie,Irving,7900,2015-04-13
C,Enes,Kanter,7800,2015-04-13
PG,Elfrid,Payton,7800,2015-04-13
PG,Tyreke,Evans,7700,2015-04-13
PF,Nerlens,Noel,7700,2015-04-13
C,Rudy,Gobert,7700,2015-04-13
SF,Rudy,Gay,7500,2015-04-13
PG,Jrue,Holiday,7500,2015-04-13
SG,Jimmy,Butler,7500,2015-04-13
PF,Draymond,Green,7500,2015-04-13
SF,Gordon,Hayward,7500,2015-04-13
PF,Derrick,Favors,7500,2015-04-13
PG,Ricky,Rubio,7500,2015-04-13
SG,Victor,Oladipo,7500,2015-04-13
PG,Kemba,Walker,7400,2015-04-13
PF,Greg,Monroe,7400,2015-04-13
C,Hassan,Whiteside,7300,2015-04-13
SG,Dwyane,Wade,7200,2015-04-13
PG,Deron,Williams,7100,2015-04-13
PF,Zach,Randolph,7000,2015-04-13
C,Marc,Gasol,7000,2015-04-13
PF,Kevin,Love,7000,2015-04-13
PG,Derrick,Rose,7000,2015-04-13
PF,Kenneth,Faried,7000,2015-04-13
SG,Klay,Thompson,7000,2015-04-13
PG,Jordan,Clarkson,7000,2015-04-13
SF,Andrew,Wiggins,7000,2015-04-13
PF,Paul,Millsap,6900,2015-04-13
PF,Serge,Ibaka,6900,2015-04-13
