first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Andre,Drummond,2015-03-29,DET,MIA,2342,14,17,0,0,4,7,5,9,14,2,1,2,0,3,32,58.5
Dwyane,Wade,2015-03-29,MIA,DET,2140,14,27,0,1,12,13,3,3,6,4,1,0,1,0,40,55.0
Brook,Lopez,2015-03-29,BRK,LAL,2418,13,22,0,0,4,8,3,8,11,1,0,4,0,0,30,53.25
Reggie,Jackson,2015-03-29,DET,MIA,2162,12,17,3,4,4,8,3,3,6,9,0,0,4,4,31,51.5
Anthony,Davis,2015-03-29,NOP,MIN,2243,10,21,0,0,8,10,2,7,9,5,2,1,0,3,28,52.75
Chris,Paul,2015-03-29,LAC,BOS,2074,5,9,3,4,8,8,1,2,3,10,2,1,4,1,21,45.25
John,Wall,2015-03-29,WAS,HOU,2568,7,17,0,1,11,12,2,6,8,12,4,1,7,4,25,59.5
C.J.,Miles,2015-03-29,IND,DAL,1687,9,12,5,6,5,6,0,4,4,1,1,0,2,2,28,38.0
Russell,Westbrook,2015-03-29,OKC,PHO,2268,10,29,1,7,12,14,2,7,9,7,3,1,4,3,33,61.25
Blake,Griffin,2015-03-29,LAC,BOS,1970,7,14,0,0,7,9,3,6,9,5,1,1,0,2,21,43.75
J.J.,Redick,2015-03-29,LAC,BOS,1960,11,15,5,6,0,0,0,5,5,3,0,0,2,3,27,39.25
Rajon,Rondo,2015-03-29,DAL,IND,2279,8,14,0,0,1,1,3,4,7,10,2,1,2,2,17,45.75
Jordan,Hill,2015-03-29,LAL,BRK,1626,10,17,0,0,2,3,5,11,16,1,0,1,1,3,22,45.0
Kawhi,Leonard,2015-03-29,SAS,MEM,2007,11,17,1,3,2,2,1,9,10,1,1,0,3,0,25,40.0
T.J.,Warren,2015-03-29,PHO,OKC,1737,8,10,0,0,2,2,0,5,5,2,2,1,0,1,18,33.25
Joe,Johnson,2015-03-29,BRK,LAL,2136,7,14,3,8,1,1,1,7,8,7,2,0,1,1,18,43.5
