date,visitor,home
2014-10-28,Houston Rockets,Los Angeles Lakers
2014-10-28,Orlando Magic,New Orleans Pelicans
2014-10-28,Dallas Mavericks,San Antonio Spurs
2014-10-29,Brooklyn Nets,Boston Celtics
2014-10-29,Milwaukee Bucks,Charlotte Hornets
2014-10-29,Detroit Pistons,Denver Nuggets
2014-10-29,Philadelphia 76ers,Indiana Pacers
2014-10-29,Minnesota Timberwolves,Memphis Grizzlies
2014-10-29,Washington Wizards,Miami Heat
2014-10-29,Chicago Bulls,New York Knicks
2014-10-29,Los Angeles Lakers,Phoenix Suns
2014-10-29,Oklahoma City Thunder,Portland Trail Blazers
2014-10-29,Golden State Warriors,Sacramento Kings
2014-10-29,Atlanta Hawks,Toronto Raptors
2014-10-29,Houston Rockets,Utah Jazz
2014-10-30,New York Knicks,Cleveland Cavaliers
2014-10-30,Utah Jazz,Dallas Mavericks
2014-10-30,Oklahoma City Thunder,Los Angeles Clippers
2014-10-30,Detroit Pistons,Minnesota Timberwolves
2014-10-30,Washington Wizards,Orlando Magic
2014-10-31,Cleveland Cavaliers,Chicago Bulls
2014-10-31,Memphis Grizzlies,Indiana Pacers
2014-10-31,Los Angeles Clippers,Los Angeles Lakers
2014-10-31,Philadelphia 76ers,Milwaukee Bucks
2014-10-31,San Antonio Spurs,Phoenix Suns
2014-10-31,Portland Trail Blazers,Sacramento Kings
2014-11-01,Indiana Pacers,Atlanta Hawks
2014-11-01,Memphis Grizzlies,Charlotte Hornets
2014-11-01,Brooklyn Nets,Detroit Pistons
2014-11-01,Los Angeles Lakers,Golden State Warriors
2014-11-01,Boston Celtics,Houston Rockets
2014-11-01,Chicago Bulls,Minnesota Timberwolves
2014-11-01,Dallas Mavericks,New Orleans Pelicans
2014-11-01,Denver Nuggets,Oklahoma City Thunder
2014-11-01,Toronto Raptors,Orlando Magic
2014-11-01,Miami Heat,Philadelphia 76ers
2014-11-01,Phoenix Suns,Utah Jazz
2014-11-01,Milwaukee Bucks,Washington Wizards
2014-11-02,Sacramento Kings,Los Angeles Clippers
2014-11-02,Toronto Raptors,Miami Heat
2014-11-02,Charlotte Hornets,New York Knicks
2014-11-02,Golden State Warriors,Portland Trail Blazers
2014-11-03,Oklahoma City Thunder,Brooklyn Nets
2014-11-03,Boston Celtics,Dallas Mavericks
2014-11-03,Sacramento Kings,Denver Nuggets
2014-11-03,Utah Jazz,Los Angeles Clippers
2014-11-03,New Orleans Pelicans,Memphis Grizzlies
2014-11-03,Houston Rockets,Philadelphia 76ers
2014-11-04,Orlando Magic,Chicago Bulls
2014-11-04,Milwaukee Bucks,Indiana Pacers
2014-11-04,Phoenix Suns,Los Angeles Lakers
2014-11-04,Houston Rockets,Miami Heat
2014-11-04,Charlotte Hornets,New Orleans Pelicans
2014-11-04,Washington Wizards,New York Knicks
2014-11-04,Cleveland Cavaliers,Portland Trail Blazers
2014-11-04,Oklahoma City Thunder,Toronto Raptors
2014-11-05,Toronto Raptors,Boston Celtics
2014-11-05,Minnesota Timberwolves,Brooklyn Nets
2014-11-05,Miami Heat,Charlotte Hornets
2014-11-05,New York Knicks,Detroit Pistons
2014-11-05,Los Angeles Clippers,Golden State Warriors
2014-11-05,Chicago Bulls,Milwaukee Bucks
2014-11-05,Orlando Magic,Philadelphia 76ers
2014-11-05,Memphis Grizzlies,Phoenix Suns
2014-11-05,Denver Nuggets,Sacramento Kings
2014-11-05,Atlanta Hawks,San Antonio Spurs
2014-11-05,Cleveland Cavaliers,Utah Jazz
2014-11-05,Indiana Pacers,Washington Wizards
2014-11-06,San Antonio Spurs,Houston Rockets
