position,first_name,last_name,salary,date
C,DeMarcus,Cousins,10200,2015-04-12
SF,LeBron,James,10000,2015-04-12
PG,Reggie,Jackson,8500,2015-04-12
C,Brook,Lopez,8400,2015-04-12
C,Andre,Drummond,8400,2015-04-12
PG,Kyrie,Irving,7900,2015-04-12
SF,Rudy,Gay,7500,2015-04-12
PG,Kemba,Walker,7400,2015-04-12
PF,Greg,Monroe,7400,2015-04-12
PG,Deron,Williams,7100,2015-04-12
PF,Kevin,Love,7000,2015-04-12
PF,Kenneth,Faried,7000,2015-04-12
PG,Ty,Lawson,6600,2015-04-12
PG,Michael,Carter-Williams,6600,2015-04-12
C,Al,Jefferson,6500,2015-04-12
SF,Giannis,Antetokounmpo,6500,2015-04-12
SF,Danilo,Gallinari,6400,2015-04-12
PF,Thaddeus,Young,6000,2015-04-12
PG,Evan,Turner,6000,2015-04-12
PG,Isaiah,Thomas,6000,2015-04-12
SG,Khris,Middleton,6000,2015-04-12
PF,Jared,Sullinger,6000,2015-04-12
C,Zaza,Pachulia,5900,2015-04-12
PF,Ersan,Ilyasova,5900,2015-04-12
SG,Joe,Johnson,5800,2015-04-12
SF,Michael,Kidd-Gilchrist,5800,2015-04-12
SG,J.R.,Smith,5600,2015-04-12
SF,Wilson,Chandler,5600,2015-04-12
PF,Marvin,Williams,5500,2015-04-12
PG,Darren,Collison,5400,2015-04-12
SG,Gerald,Henderson,5300,2015-04-12
SG,Avery,Bradley,5300,2015-04-12
SF,Omri,Casspi,5200,2015-04-12
C,Bismack,Biyombo,5200,2015-04-12
SG,Kentavious,Caldwell-Pope,5200,2015-04-12
PG,Mo,Williams,5000,2015-04-12
C,Timofey,Mozgov,4900,2015-04-12
SG,Randy,Foye,4800,2015-04-12
PG,Ray,McCallum,4800,2015-04-12
PF,Brandon,Bass,4500,2015-04-12
SG,Ben,McLemore,4500,2015-04-12
PF,Jason,Thompson,4400,2015-04-12
PF,Tristan,Thompson,4400,2015-04-12
C,Tyler,Zeller,4300,2015-04-12
PF,Jae,Crowder,4300,2015-04-12
PG,Marcus,Smart,4300,2015-04-12
PG,Jameer,Nelson,4000,2015-04-12
PG,Jarrett,Jack,4000,2015-04-12
SG,O.J.,Mayo,4000,2015-04-12
PF,Anthony,Tolliver,3900,2015-04-12
SG,Bojan,Bogdanovic,3900,2015-04-12
SG,Iman,Shumpert,3800,2015-04-12
SF,Derrick,Williams,3800,2015-04-12
C,Kelly,Olynyk,3800,2015-04-12
PF,John,Henson,3600,2015-04-12
SG,Matthew,Dellavedova,3600,2015-04-12
SG,Will,Barton,3600,2015-04-12
SG,Alan,Anderson,3500,2015-04-12
C,Mason,Plumlee,3500,2015-04-12
PF,Cody,Zeller,3500,2015-04-12
SF,Tayshaun,Prince,3400,2015-04-12
PF,J.J.,Hickson,3400,2015-04-12
SG,Markel,Brown,3400,2015-04-12
C,Jusuf,Nurkic,3400,2015-04-12
SF,Jared,Dudley,3300,2015-04-12
PG,Troy,Daniels,3300,2015-04-12
SG,Jodie,Meeks,3200,2015-04-12
PG,Andre,Miller,3100,2015-04-12
SF,Mike,Miller,3100,2015-04-12
PF,Jason,Maxiell,3100,2015-04-12
PF,Carl,Landry,3100,2015-04-12
PG,Brian,Roberts,3100,2015-04-12
SF,Shawn,Marion,3000,2015-04-12
C,Brendan,Haywood,3000,2015-04-12
SF,Gerald,Wallace,3000,2015-04-12
SG,James,Jones,3000,2015-04-12
PG,John,Lucas,3000,2015-04-12
SF,Caron,Butler,3000,2015-04-12
PF,Shavlik,Randolph,3000,2015-04-12
PF,Reggie,Evans,3000,2015-04-12
C,Ryan,Hollins,3000,2015-04-12
C,Kendrick,Perkins,3000,2015-04-12
SF,Cartier,Martin,3000,2015-04-12
SF,Shawne,Williams,3000,2015-04-12
C,Joel,Anthony,3000,2015-04-12
C,Jerome,Jordan,3000,2015-04-12
PF,Darrell,Arthur,3000,2015-04-12
SF,Earl,Clark,3000,2015-04-12
PG,Jerryd,Bayless,3000,2015-04-12
PG,Jorge,Gutierrez,3000,2015-04-12
SG,Chris,Babb,3000,2015-04-12
SF,Jeffery,Taylor,3000,2015-04-12
C,Miles,Plumlee,3000,2015-04-12
SF,Luigi,Datome,3000,2015-04-12
SF,Jonas,Jerebko,3000,2015-04-12
SG,Ian,Clark,3000,2015-04-12
PG,Erick,Green,3000,2015-04-12
SG,Lance,Stephenson,3000,2015-04-12
PG,Darius,Morris,3000,2015-04-12
PF,Cory,Jefferson,3000,2015-04-12
SG,Joe,Harris,3000,2015-04-12
PG,Phil,Pressey,3000,2015-04-12
PF,Johnny,OBryant,3000,2015-04-12
SF,Quincy,Miller,3000,2015-04-12
SG,P.J.,Hairston,3000,2015-04-12
C,Sim,Bhullar,3000,2015-04-12
SG,Nik,Stauskas,3000,2015-04-12
SG,Gary,Harris,3000,2015-04-12
SF,Joffrey,Lauvergne,3000,2015-04-12
PG,Tyler,Ennis,3000,2015-04-12
PF,Noah,Vonleh,3000,2015-04-12
SG,James,Young,3000,2015-04-12
