first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Danilo,Gallinari,2015-03-22,DEN,ORL,1985,12,21,6,13,10,11,0,7,7,4,3,2,1,1,40,67.25
Anthony,Davis,2015-03-22,NOP,LAC,2369,11,13,0,0,4,5,3,9,12,5,2,2,2,4,26,55.5
LeBron,James,2015-03-22,CLE,MIL,2368,10,17,1,4,7,7,2,8,10,6,5,1,5,1,28,59.5
Chris,Paul,2015-03-22,LAC,NOP,2256,8,19,0,4,7,8,1,6,7,11,4,0,2,1,23,55.25
Jeremy,Lin,2015-03-22,LAL,PHI,1729,10,16,2,2,7,8,0,5,5,5,1,0,2,4,29,44.75
Enes,Kanter,2015-03-22,OKC,MIA,2065,12,20,0,0,3,3,6,6,12,0,1,0,2,2,27,43.0
Kemba,Walker,2015-03-22,CHO,MIN,2016,4,11,0,1,8,8,1,2,3,8,6,0,0,2,16,43.75
J.R.,Smith,2015-03-22,CLE,MIL,2191,8,11,7,9,0,0,1,3,4,1,3,0,2,3,23,38.0
Kawhi,Leonard,2015-03-22,SAS,ATL,1901,8,14,1,3,3,4,1,9,10,7,4,0,4,2,20,49.5
Tiago,Splitter,2015-03-22,SAS,ATL,1629,10,14,0,0,3,4,5,3,8,2,0,0,2,1,23,35.0
DeMar,DeRozan,2015-03-22,TOR,NYK,2180,8,15,1,1,6,6,1,6,7,5,0,0,2,0,23,38.75
Evan,Turner,2015-03-22,BOS,DET,2320,10,21,2,6,1,2,0,6,6,8,3,0,2,2,23,48.5
Eric,Gordon,2015-03-22,NOP,LAC,2246,7,13,5,8,4,4,0,2,2,5,1,0,2,1,23,36.5
Lance,Thomas,2015-03-22,NYK,TOR,2302,9,12,2,2,4,6,1,1,2,1,1,0,1,2,24,30.5
Rudy,Gay,2015-03-22,SAC,WAS,1927,10,19,2,5,4,4,1,4,5,2,0,1,1,2,26,37.75
Blake,Griffin,2015-03-22,LAC,NOP,2246,10,21,0,0,3,3,3,2,5,4,1,1,0,3,23,39.25
Kentavious,Caldwell-Pope,2015-03-22,DET,BOS,2659,10,20,3,8,4,4,2,6,8,1,2,0,4,2,27,42.0
Andre,Drummond,2015-03-22,DET,BOS,2412,8,17,0,0,2,11,8,14,22,2,0,4,0,4,18,56.5
Mo,Williams,2015-03-22,CHO,MIN,1719,10,16,4,8,0,0,0,4,4,4,0,1,3,1,24,37.5
Michael,Kidd-Gilchrist,2015-03-22,CHO,MIN,2319,8,10,0,0,2,2,4,5,9,0,0,1,1,1,18,30.75
Russell,Westbrook,2015-03-22,OKC,MIA,2036,5,16,1,4,1,2,3,6,9,17,4,2,5,3,12,58.75
Paul,Millsap,2015-03-22,ATL,SAS,2000,8,17,4,6,2,2,3,4,7,3,2,0,3,3,22,39.75
Tim,Duncan,2015-03-22,SAS,ATL,1876,5,10,0,0,2,2,1,6,7,7,1,4,1,2,12,40.75
DeMarcus,Cousins,2015-03-22,SAC,WAS,1369,6,11,0,0,8,8,0,7,7,5,3,0,5,5,20,39.75
Michael,Carter-Williams,2015-03-22,MIL,CLE,2023,9,14,1,2,0,0,1,2,3,5,4,2,6,2,19,39.75
Dennis,Schroder,2015-03-22,ATL,SAS,1412,8,13,2,4,0,0,1,2,3,5,1,1,2,1,18,33.25
Ben,McLemore,2015-03-22,SAC,WAS,1860,7,11,3,5,0,0,1,2,3,1,4,0,2,2,17,30.75
Victor,Oladipo,2015-03-22,ORL,DEN,2105,8,15,1,4,4,4,1,4,5,5,1,1,4,4,21,37.25
Reggie,Jackson,2015-03-22,DET,BOS,2223,5,13,0,3,7,8,0,9,9,11,0,1,4,4,17,44.75
Thomas,Robinson,2015-03-22,PHI,LAL,962,7,8,0,0,0,0,3,5,8,0,1,0,0,2,14,26.0
Tyler,Hansbrough,2015-03-22,TOR,NYK,1062,7,8,0,0,4,5,1,4,5,0,0,0,1,2,18,23.75
Bradley,Beal,2015-03-22,WAS,SAC,1597,8,13,1,4,2,2,1,2,3,4,1,0,3,1,19,29.75
Kyrie,Irving,2015-03-22,CLE,MIL,1848,9,19,1,5,1,1,0,3,3,7,2,0,3,1,20,37.25
Marcus,Morris,2015-03-22,PHO,DAL,2141,4,9,1,5,2,2,0,11,11,7,3,0,2,2,11,40.75
Eric,Bledsoe,2015-03-22,PHO,DAL,2205,6,15,1,6,7,10,1,5,6,9,3,2,7,5,20,48.0
Jordan,Hill,2015-03-22,LAL,PHI,1217,6,7,0,0,0,1,2,6,8,3,0,0,0,0,12,26.5
Jameer,Nelson,2015-03-22,DEN,ORL,990,5,8,3,6,2,2,1,0,1,5,1,0,2,1,15,26.25
Omri,Casspi,2015-03-22,SAC,WAS,1916,4,6,2,2,4,4,0,2,2,5,3,0,3,4,14,29.5
Jae,Crowder,2015-03-22,BOS,DET,2675,7,16,1,5,4,5,1,6,7,3,1,1,1,4,19,36.25
DeAndre,Jordan,2015-03-22,LAC,NOP,2231,5,7,0,0,2,7,8,8,16,1,1,3,3,5,12,40.0
Khris,Middleton,2015-03-22,MIL,CLE,2348,5,7,1,2,4,5,0,5,5,7,1,0,5,1,15,31.75
Ray,McCallum,2015-03-22,SAC,WAS,1822,5,9,1,2,2,2,1,1,2,6,0,0,0,1,13,25.0
Giannis,Antetokounmpo,2015-03-22,MIL,CLE,2108,5,11,0,0,5,6,1,8,9,5,1,1,3,2,15,36.25
Gorgui,Dieng,2015-03-22,MIN,CHO,2146,5,8,0,1,6,6,2,6,8,1,0,1,2,4,16,28.5
J.J.,Redick,2015-03-22,LAC,NOP,1779,7,16,3,6,3,3,0,0,0,2,1,0,0,2,20,26.5
Danny,Green,2015-03-22,SAS,ATL,1994,5,11,3,5,2,2,0,7,7,3,1,0,1,1,15,31.25
Adreian,Payne,2015-03-22,MIN,CHO,2127,6,8,0,0,1,2,1,8,9,1,1,0,0,3,13,27.75
Jonas,Valanciunas,2015-03-22,TOR,NYK,1629,6,12,0,0,5,5,1,9,10,2,0,1,2,4,17,33.5
Al,Jefferson,2015-03-22,CHO,MIN,2002,9,20,0,0,0,0,4,7,11,1,2,0,2,1,18,36.25
